source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,2019-01-30,It's time to prove that we can put COUNTRY before PARTY.,20153,16850,389,2860,24,7,22,2095,https://mbasic.facebook.com/DonaldTrump
Donald J. Trump,2019-01-29,"New poll! Voters in vulnerable Democrat districts “support the president’s position on border security,"" NOT Speaker Pelosi's.",48670,41908,1164,5389,120,19,70,4461,https://mbasic.facebook.com/DonaldTrump
Donald J. Trump,2019-01-29,"We are not even into February and the cost of illegal immigration so far this year is $18,959,495,168. There are at least 25,772,342 illegal aliens, not the 11,000,000 that have been reported for years, in our country. So ridiculous!",84458,45045,1246,1022,11.016,2235,23.894,14.210,https://mbasic.facebook.com/DonaldTrump
Donald J. Trump,2019-01-29,"After all that I have done, does anybody really think I won’t build the WALL? Done more in first two years than any President! MAKE AMERICA GREAT AGAIN!",93779,75000,1761,16.676,183,30,129,10.304,https://mbasic.facebook.com/DonaldTrump
Donald J. Trump,2019-01-28,"America is back, bigger and better and stronger than ever before!",35167,28503,926,5540,114,15,69,3929,https://mbasic.facebook.com/DonaldTrump
Donald J. Trump,2019-01-28,Do you think the media will report on this and all of the other great economic news?,20710,16809,548,3202,87,21,43,2714,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548713779%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548713779%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-28,"African American, Asian American, and Hispanic American unemployment rates have reached RECORD LOWS!",25126,20853,450,3666,94,16,47,3015,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548713779%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548713779%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-26,"Estamos con ustedes, Venezuela. Con el gran liderazgo de nuestros aliados, el Presidente Trump y el Vicepresidente Pence hemos enviado una señal clara ––estamos con ustedes y tendrán la posibilidad de restaurar la libertad y la democracía en Venezuela de nuevamente. We are with you, Venezuela, With fearless leadership and together with our allies, President Trump and Vice-President Pence have sent a clear signal to the people of Venezuela––we are with you, and you now have the ability to restore freedom and democracy once again in Venezuela. #ElMundoConVzla",15556,12742,494,2160,70,22,68,3037,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548713779%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548713779%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-27,We pledge with all of our might and resolve: never again.,72787,51550,237,7695,131,13.058,116,4499,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548713779%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548713779%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-28,"The United States has a GREAT economic story to tell.  Number one in the world, by far!",34633,28388,658,5378,141,10,58,3165,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548713779%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548713779%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-25,Democrats – stop playing games and give Americans the GREAT border security they deserve!,37775,31007,811,2208,150,403,3196,10.743,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548526863%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548526863%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-26,"Many disagree, but I really feel that working with Democrats and Republicans, we can make a truly GREAT and SECURE deal happen for everyone.",32693,27274,723,4409,78,63,146,7592,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548526863%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548526863%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-25,WATCH LIVE: President Trump delivers remarks regarding the shutdown,13163,10062,455,2285,54,77,230,3413,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548526863%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548526863%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-25,"Let me be very clear: We have no choice but to build a powerful wall or steel barrier. If we don’t get a fair deal from Congress, the government will either shut down on February 15th, again, or I will use the powers afforded to me under the laws and the Constitution of the United States to address this emergency.",77662,63212,1411,12.363,170,110,396,13.621,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548526863%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548526863%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-25,"In a short while, I will sign a bill to open our Government for three weeks until February 15th. I will make sure that all employees receive their back pay very quickly.",54658,45009,1053,7398,237,242,719,9716,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548526863%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548526863%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-25,"President Donald J. Trump’s schedule for Friday, January 25th: · Lunch with the Secretary of State · Discussion on economic growth with our Nation’s mayors · Roundtable with Hispanic pastors",13159,11199,388,1504,23,7,38,2381,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548439202%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548439202%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-25,"Securing the Southern Border is a very, very big deal. It should have been done by all of the presidents that preceded me, but they couldn't get it done. We're going to get it done!",42764,35280,779,6468,59,37,141,6820,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548439202%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548439202%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-25,"Waiting on Democrats to come to the table!  “President Trump has repeatedly offered to reach across the table and make a deal, but Democrats won’t even attend a lunch at the White House to discuss potential compromise solutions to the border crisis.” - Dr. Lou Holtz",46876,38062,794,1741,441,755,5083,9116,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548439202%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548439202%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-25,"Los Democratas no son la voz de la comunidad Hispana en EEUU. Escuchen porque Maria Elvira Salazar una latina, apoya al President Trump y el Partido Republicano en esta entrevista con John Pence. Democrats aren't the voice for Hispanics in America. Listen to why Maria Elvira Salazar supports President Trump and the GOP as a Hispanic woman in this interview with John Pence.  #Latinos4Trump",13163,10724,580,1756,51,11,41,2258,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548439202%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548439202%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
