source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,2019-01-29,"We are not even into February and the cost of illegal immigration so far this year is $18,959,495,168. There are at least 25,772,342 illegal aliens, not the 11,000,000 that have been reported for years, in our country. So ridiculous!",62805,32964,927,711,8289,1644,18.271,10.679,/story.php?story_fbid=10162085511410725&id=153080620724&refid=17&_ft_=mf_story_key.10162085511410725%3Atop_level_post_id.10162085511410725%3Atl_objid.10162085511410725%3Acontent_owner_id_new.153080620724%3Athrowback_story_fbid.10162085511410725%3Apage_id.153080620724%3Aphoto_id.10162085510135725%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22153080620724%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A153080620724%2C%22post_context%22%3A%7B%22story_fbid%22%3A10162085511410725%2C%22publish_time%22%3A1548789720%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A153080620724%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A153080620724%2C%22actor_id%22%3A153080620724%2C%22role%22%3A1%2C%22post_id%22%3A10162085511410725%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.153080620724%3A306061129499414%3A2%3A0%3A1549007999%3A1005721655954391335&__tn__=%2AW-R#footer_action_list
Donald J. Trump,2019-01-28,"America is back, bigger and better and stronger than ever before!",33799,27387,882,5339,111,14,66,3719,/story.php?story_fbid=10162074410045725&id=153080620724&refid=17&_ft_=mf_story_key.10162074410045725%3Atop_level_post_id.10162074410045725%3Atl_objid.10162074410045725%3Acontent_owner_id_new.153080620724%3Athrowback_story_fbid.10162074410045725%3Apage_id.153080620724%3Aphoto_id.10162074409605725%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22153080620724%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A153080620724%2C%22post_context%22%3A%7B%22story_fbid%22%3A10162074410045725%2C%22publish_time%22%3A1548713779%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A153080620724%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A153080620724%2C%22actor_id%22%3A153080620724%2C%22role%22%3A1%2C%22post_id%22%3A10162074410045725%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.153080620724%3A306061129499414%3A2%3A0%3A1549007999%3A4912886066252980389&__tn__=%2AW-R#footer_action_list
Donald J. Trump,2019-01-28,Do you think the media will report on this and all of the other great economic news?,19926,16173,526,3080,84,20,42,2618,/story.php?story_fbid=10162074408805725&id=153080620724&refid=17&_ft_=mf_story_key.10162074408805725%3Atop_level_post_id.10162074408805725%3Atl_objid.10162074408805725%3Acontent_owner_id_new.153080620724%3Athrowback_story_fbid.10162074408805725%3Apage_id.153080620724%3Aphoto_id.10162074408730725%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22153080620724%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A153080620724%2C%22post_context%22%3A%7B%22story_fbid%22%3A10162074408805725%2C%22publish_time%22%3A1548705602%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A153080620724%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A153080620724%2C%22actor_id%22%3A153080620724%2C%22role%22%3A1%2C%22post_id%22%3A10162074408805725%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.153080620724%3A306061129499414%3A2%3A0%3A1549007999%3A-4114865489955418938&__tn__=%2AW-R#footer_action_list
Donald J. Trump,2019-01-29,"New poll! Voters in vulnerable Democrat districts “support the president’s position on border security,"" NOT Speaker Pelosi's.",40872,35180,1000,4519,97,16,60,3919,/story.php?story_fbid=10162088559275725&id=153080620724&refid=17&_ft_=mf_story_key.10162088559275725%3Atop_level_post_id.10162088559275725%3Atl_objid.10162088559275725%3Acontent_owner_id_new.153080620724%3Athrowback_story_fbid.10162088559275725%3Apage_id.153080620724%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22153080620724%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A153080620724%2C%22post_context%22%3A%7B%22story_fbid%22%3A10162088559275725%2C%22publish_time%22%3A1548765260%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A153080620724%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A153080620724%2C%22actor_id%22%3A153080620724%2C%22role%22%3A1%2C%22post_id%22%3A10162088559275725%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.153080620724%3A306061129499414%3A2%3A0%3A1549007999%3A907645136164392590&__tn__=%2AW-R#footer_action_list
Donald J. Trump,2019-01-29,"After all that I have done, does anybody really think I won’t build the WALL? Done more in first two years than any President! MAKE AMERICA GREAT AGAIN!",73427,58645,1387,13.135,136,21,104,8429,/story.php?story_fbid=10162089194265725&id=153080620724&refid=17&_ft_=mf_story_key.10162089194265725%3Atop_level_post_id.10162089194265725%3Atl_objid.10162089194265725%3Acontent_owner_id_new.153080620724%3Athrowback_story_fbid.10162089194265725%3Apage_id.153080620724%3Aphoto_id.10162089194210725%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22153080620724%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A153080620724%2C%22post_context%22%3A%7B%22story_fbid%22%3A10162089194265725%2C%22publish_time%22%3A1548779599%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A153080620724%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A153080620724%2C%22actor_id%22%3A153080620724%2C%22role%22%3A1%2C%22post_id%22%3A10162089194265725%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.153080620724%3A306061129499414%3A2%3A0%3A1549007999%3A-4554855609363508331&__tn__=%2AW-R#footer_action_list
Donald J. Trump,2019-01-28,"The United States has a GREAT economic story to tell.  Number one in the world, by far!",33816,27703,639,5275,135,10,54,3067,/story.php?story_fbid=10162074407935725&id=153080620724&refid=17&_ft_=mf_story_key.10162074407935725%3Atop_level_post_id.10162074407935725%3Atl_objid.10162074407935725%3Acontent_owner_id_new.153080620724%3Athrowback_story_fbid.10162074407935725%3Apage_id.153080620724%3Aphoto_id.10162074406755725%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22153080620724%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A153080620724%2C%22post_context%22%3A%7B%22story_fbid%22%3A10162074407935725%2C%22publish_time%22%3A1548698454%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A153080620724%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A153080620724%2C%22actor_id%22%3A153080620724%2C%22role%22%3A1%2C%22post_id%22%3A10162074407935725%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.153080620724%3A306061129499414%3A2%3A0%3A1549007999%3A2559015778817417678&__tn__=%2AW-R#footer_action_list
Donald J. Trump,2019-01-27,We pledge with all of our might and resolve: never again.,72423,51278,236,7659,130,13.006,114,4483,/story.php?story_fbid=10162081871215725&id=153080620724&refid=17&_ft_=mf_story_key.10162081871215725%3Atop_level_post_id.10162081871215725%3Atl_objid.10162081871215725%3Acontent_owner_id_new.153080620724%3Athrowback_story_fbid.10162081871215725%3Apage_id.153080620724%3Aphoto_id.10162081871120725%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22153080620724%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A153080620724%2C%22post_context%22%3A%7B%22story_fbid%22%3A10162081871215725%2C%22publish_time%22%3A1548606919%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A153080620724%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A153080620724%2C%22actor_id%22%3A153080620724%2C%22role%22%3A1%2C%22post_id%22%3A10162081871215725%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.153080620724%3A306061129499414%3A2%3A0%3A1549007999%3A-381703062381246155&__tn__=%2AW-R#footer_action_list
Donald J. Trump,2019-01-25,Democrats – stop playing games and give Americans the GREAT border security they deserve!,37712,30953,810,2205,149,403,3192,10.716,/story.php?story_fbid=10162069564955725&id=153080620724&refid=17&_ft_=mf_story_key.10162069564955725%3Atop_level_post_id.10162069564955725%3Atl_objid.10162069564955725%3Acontent_owner_id_new.153080620724%3Athrowback_story_fbid.10162069564955725%3Apage_id.153080620724%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22153080620724%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A153080620724%2C%22post_context%22%3A%7B%22story_fbid%22%3A10162069564955725%2C%22publish_time%22%3A1548439202%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A153080620724%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A153080620724%2C%22actor_id%22%3A153080620724%2C%22role%22%3A1%2C%22post_id%22%3A10162069564955725%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.153080620724%3A306061129499414%3A2%3A0%3A1549007999%3A4728426035280143902&__tn__=%2AW-R#footer_action_list
Donald J. Trump,2019-01-25,"President Donald J. Trump’s schedule for Friday, January 25th: · Lunch with the Secretary of State · Discussion on economic growth with our Nation’s mayors · Roundtable with Hispanic pastors",13135,11179,388,1500,23,7,38,2381,/story.php?story_fbid=10162071188260725&id=153080620724&refid=17&_ft_=mf_story_key.10162071188260725%3Atop_level_post_id.10162071188260725%3Atl_objid.10162071188260725%3Acontent_owner_id_new.153080620724%3Athrowback_story_fbid.10162071188260725%3Apage_id.153080620724%3Astory_location.4%3Apage_insights.%7B%22153080620724%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A153080620724%2C%22post_context%22%3A%7B%22story_fbid%22%3A10162071188260725%2C%22publish_time%22%3A1548415850%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A153080620724%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A153080620724%2C%22actor_id%22%3A153080620724%2C%22role%22%3A1%2C%22post_id%22%3A10162071188260725%2C%22share_id%22%3A0%7D%5D%7D%2C%221220332944702810%22%3A%7B%22page_id%22%3A1220332944702810%2C%22role%22%3A16%2C%22actor_id%22%3A153080620724%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.153080620724%3A306061129499414%3A2%3A0%3A1549007999%3A-2766192687318157941&__tn__=%2AW-R#footer_action_list
Donald J. Trump,2019-01-25,"Waiting on Democrats to come to the table!  “President Trump has repeatedly offered to reach across the table and make a deal, but Democrats won’t even attend a lunch at the White House to discuss potential compromise solutions to the border crisis.” - Dr. Lou Holtz",46830,38024,794,1737,440,755,5080,9111,/story.php?story_fbid=10162069521695725&id=153080620724&refid=17&_ft_=mf_story_key.10162069521695725%3Atop_level_post_id.10162069521695725%3Atl_objid.10162069521695725%3Acontent_owner_id_new.153080620724%3Athrowback_story_fbid.10162069521695725%3Apage_id.153080620724%3Astory_location.4%3Astory_attachment_style.share%3Apage_insights.%7B%22153080620724%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A153080620724%2C%22post_context%22%3A%7B%22story_fbid%22%3A10162069521695725%2C%22publish_time%22%3A1548421200%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A153080620724%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A153080620724%2C%22actor_id%22%3A153080620724%2C%22role%22%3A1%2C%22post_id%22%3A10162069521695725%2C%22share_id%22%3A0%7D%5D%7D%2C%22310592512287515%22%3A%7B%22page_id%22%3A310592512287515%2C%22role%22%3A16%2C%22actor_id%22%3A153080620724%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.153080620724%3A306061129499414%3A2%3A0%3A1549007999%3A-2242783645780886201&__tn__=%2AW-R#footer_action_list
