source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Wo Fa,,"TuttiWho is the best player right  now 1- like for   2- love for   3- wow for   4- haha for   5. Sad for   6. Angry for  Alano para de se incomodar com a vida dos outros,... ",,,,,,,,,
Md Shamul Islam Siam,,"TuttiThe Best (Football) Player  In The World Merry Cristmas CR7  Love From Bangladesh Alano para de se incomodar com a vida dos outros,... ",,,,,,,,,
Pham Thu Ha,,"TuttiDon't merry christmas, marry me  Alano para de se incomodar com a vida dos outros,... ",,,,,,,,,
Mohammad Ahmed,,"TuttiMessi and Christiano both are the best players in the world Alano para de se incomodar com a vida dos outros,... ",,,,,,,,,
Kris Ödling,,"TuttiIf only Christmas was as happy as your mrs face Alano para de se incomodar com a vida dos outros,... ",,,,,,,,,
Wo Fa,,"TuttiCristiano Ronaldo is the best player in the world Alano para de se incomodar com a vida dos outros,... ",,,,,,,,,
Mattia N Casotti,,"TuttiBuon natale a tutti tranne ai pakistani che dicono che Messi is better than CR7Alano para de se incomodar com a vida dos outros,... ",,,,,,,,,
Alano Silva,,"TuttiMulher de sorte ai , esperta, abriu as pernas para um dos homens mais ricos do esporte. Não precisa trabalhar nunca mais , usou o utero pra o seu proveito, muito bemAlano para de se incomodar com a vida dos outros,... ",,,,,,,,,
PuissAnce CaLme,,"TuttiAlano para de se incomodar com a vida dos outros,... 1-Cristiano Ronaldo  2- Georgina 3- Cristiano jr 4- Eva 5- Martina 6- Mathéo   Feliz natal ",,,,,,,,,
Daniel Batista,,"TuttiAlano para de se incomodar com a vida dos outros,... Armaste alguma Ronaldo, que a senhora não está com grande cara!!",,,,,,,,,
Mattia N Casotti,,Buon natale a tutti tranne ai pakistani che dicono che Messi is better than CR7,,,,,,,,,
,,,,,,,,,,,
Gianluca Jan Uva,,Finalmente un commento in italiano. Finalmente non vedo quei sondaggi di merda degli arabi,,,,,,,,,
Kzal Trevisan,,Bongone Celestino perché sono quasi tutti interisti,,,,,,,,,
Lorenzo Coda,,India superpower by 2030...,,,,,,,,,
Etore Halilovic,,Mahh,,,,,,,,,
Diana Salina,, auguri amore,,,,,,,,,
Hw Wh,,Mattia N Casotti go killyourself,,,,,,,,,
Marco Cenci,,Buon Natale,,,,,,,,,
Laura Giugliano,,Mattia N Casotti neanche a quelli che gli scrivono di convertirsi,,,,,,,,,
Raf Ruggiero,,quelli non capiscono un cazzo,,,,,,,,,
Merliah Calissa,,Ye kia bol rha h pakistan k bary mai you shemale slut,,,,,,,,,
PuissAnce CaLme,,1-Cristiano Ronaldo  2- Georgina 3- Cristiano jr 4- Eva 5- Martina 6- Mathéo   Feliz natal ❣️❣️❣️,,,,,,,,,
,,,,,,,,,,,
