source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
eigenLab,2018-12-06,CONFERENZA E APERITIVO CON JAM-SESSION Ricordiamo l'evento di oggi pomeriggio ad Exploit @am2 dove si parlerà delle più recenti discussioni sul clima con due ospiti che ci racconteranno come stanno portando avanti le lotte di difesa della foresta di Hambach. A seguire aperitivo con tanto cibo buono e Jam-Session!,2,3,,,,,,,https://mbasic.facebook.com/eigen.lab.1
eigenLab,2018-12-12,"---> PRANZO IN CASOTTINO <--- Oggi ci sarà l'ultimo pranzo del casottino del 2018 e vogliamo salutarvi tutt@! Ci saranno zuppe, pane, caffè (tutto homemade ;) ), gli amici e le amiche del Corriere Del Diffidato e della ciclofficina autogestita per rendere vivo il casottino ormai senza corrente! Cogliamo l'occasione per ringraziare tutti e tutte per aver partecipato alle nostre iniziative, pranzi e aperitivi e averci quindi aiutato a finanziare i nostri progetti per riportare la corrente in casottino! Buon Natale anche al magnifico rettore Paolo Mancarella!",11,7,1,3,,,,,https://mbasic.facebook.com/eigen.lab.1
eigenLab,2018-12-06,Jam Session ad Exploit Pisa,10,7,,3,,,,,https://mbasic.facebook.com/eigen.lab.1
eigenLab,2018-12-06,Tutti quanti  Tutti quanti  Tutti quanti voglion fare jazz,10,7,,3,,,,,https://mbasic.facebook.com/eigen.lab.1
eigenLab,2013-06-18,,53,43,,8,2,,,,https://mbasic.facebook.com/eigen.lab.1
eigenLab,2018-11-30,"Il 6 Dicembre dalle 17:30, ci vediamo ad  per discutere insieme a due attivisti di Ende Gelaende del percorso politico che sta portando le comunità ad occupare la foresta di Hambach per difenderla dalla deforestazione incontrollata. A seguire aperitivo con Jam-Session!",6,6,,,,,,,https://mbasic.facebook.com/eigen.lab.1?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001544100990%3A04611686018427387904%3A09223372036854775802%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001544100990%3A04611686018427387904%3A09223372036854775802%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBi0Ba8m-nHyYUR
eigenLab,2018-12-05,"CONFERENZA SULLE LOTTE AMBIENTALI IN GERMANIA Giovedì 6 Dicembre, ore 17:30 a Exploit Pisa discuteremo insieme a due attivisti del movimento tedesco che si sta opponendo alla deforestazione della foresta di Hambach. La foresta si trova sotto un grande giacimento di lignite che viene estratto per alimentare le centrali elettriche e questo ha portato a ridurre drasticamente la superficie della foresta da 5000 ettari a poco più di 1000. I movimenti dal basso come Ende Gelande attraverso occupazioni della foresta cerca da qualche anno di difendere il territorio attraverso vere e proprie occupazioni degli alberi e manifestazioni. Vi aspettiamo! A seguire Jam-session con apericena!",7,5,,2,,,,,https://mbasic.facebook.com/eigen.lab.1?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001544100990%3A04611686018427387904%3A09223372036854775802%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001544100990%3A04611686018427387904%3A09223372036854775802%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBi0Ba8m-nHyYUR
eigenLab,2018-12-02,Le case sugli alberi nella foresta di Hambach hanno da tempo simboleggiato la resistenza alle miniere di lignite a cielo aperto. Ora le autorità li stanno facendo rimuovere. Il gigante tedesco delle energie RWE vuole eliminare questa parte della foresta in autunno per espandere la sua miniera di lignite. Ne discuteremo insieme a due attivisti giovedì 6 dicembre ad eXploit alle 17:30.,8,8,,,,,,,https://mbasic.facebook.com/eigen.lab.1?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001544100990%3A04611686018427387904%3A09223372036854775802%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001544100990%3A04611686018427387904%3A09223372036854775802%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBi0Ba8m-nHyYUR
eigenLab,2018-12-04,"EVENTO ""Lotte locali per un miglioramento globale: LA FORESTA DI HAMBACH"" A seguire aperitivo con Jam-session ----> https://www.facebook.com/events/290244158263870/. L’appuntamento è giovedì 6 dicembre, ore 17:30 a Exploit @am2, per un incontro sulla giustizia climatica! Tema è la foresta di Hambach (vicino Colonia), minacciata dall’estrazione del carbone (lignite) come combustibile per centrali elettriche [https://hambachforest.org/] da parte dell’azienda dell’energia RWE AG, una fonte di energia vecchia, dannosa per l’ambiente, per l’uomo e soprattutto per il clima, vista l’enorme conseguente produzione di CO2. Ne discutiamo insieme agli attivisti che occupano la foresta , e agli attivisti di Ende Gelände [https://www.ende-gelaende.org/en/], azione di disobbedienza civile contro l’infrastruttura del carbone. Siatec* tutt*! https://eigenlab.org/2018/11/6-12-lotte-locali-per-un-miglioramento-globale-la-foresta-di-hambach/",5,3,,2,,,,,https://mbasic.facebook.com/eigen.lab.1?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001544100990%3A04611686018427387904%3A09223372036854775802%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001544100990%3A04611686018427387904%3A09223372036854775802%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBi0Ba8m-nHyYUR
eigenLab,2018-11-22,"LUOGO DEL CUORE Sono gli ultimi giorni per votare i Monti Pisani come ""luogo del cuore"" e ricevere i finanziamenti dal FAI dopo i tragici incendi che lo hanno colpito qualche mese fa e hanno distrutto molti ettari di bosco. https://www.fondoambiente.it/luoghi/monte-pisano?ldc&fbclid=IwAR1qbZDXv-HuqWXHtmkVY5ldSHO7EAEpyjvISKxhdPj8-H1Fn9mDhuxa0XE",13,8,,5,,,,,https://mbasic.facebook.com/eigen.lab.1?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001543500177%3A04611686018427387904%3A09223372036854775797%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001543500177%3A04611686018427387904%3A09223372036854775797%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBi0Ba8m-nHyYUR
