source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
我是阿晋不是阿晉,2018-11-20,今天不開台q-q 忙剪片,143,143,,,,,,4,/story.php?story_fbid=1001947790013373&id=381591828715642&refid=17&_ft_=mf_story_key.1001947790013373%3Atop_level_post_id.1001947790013373%3Atl_objid.1001947790013373%3Acontent_owner_id_new.381591828715642%3Athrowback_story_fbid.1001947790013373%3Apage_id.381591828715642%3Astory_location.4%3Apage_insights.%7B%22381591828715642%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A381591828715642%2C%22post_context%22%3A%7B%22story_fbid%22%3A1001947790013373%2C%22publish_time%22%3A1542703342%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A381591828715642%2C%22actor_id%22%3A381591828715642%2C%22role%22%3A1%2C%22post_id%22%3A1001947790013373%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.381591828715642%3A306061129499414%3A2%3A0%3A1543651199%3A5802336508520551445&__tn__=%2AW-R#footer_action_list
我是阿晋不是阿晉,2018-11-15,得獎的名單出來了!🎉🎉🎉 請中獎的得主私訊粉絲專頁 告訴我姓名 電話 地址 讓我把熊貓寄給你窩❤ 備註：11/17日 晚上8點前未私訊視同放棄，會再抽其他朋友喔!,83,79,1,3,,,,,/story.php?story_fbid=998788696995949&id=381591828715642&refid=17&_ft_=mf_story_key.998788696995949%3Atop_level_post_id.998788696995949%3Atl_objid.998788696995949%3Acontent_owner_id_new.381591828715642%3Athrowback_story_fbid.998788696995949%3Apage_id.381591828715642%3Aphoto_id.998788463662639%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22381591828715642%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A381591828715642%2C%22post_context%22%3A%7B%22story_fbid%22%3A998788696995949%2C%22publish_time%22%3A1542272238%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A381591828715642%2C%22actor_id%22%3A381591828715642%2C%22role%22%3A1%2C%22post_id%22%3A998788696995949%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.381591828715642%3A306061129499414%3A2%3A0%3A1543651199%3A-8870385202860356960&__tn__=%2AW-R#footer_action_list
我是阿晋不是阿晉,2018-11-16,巨大化就在下週更新！ 先來看為什麼我把椅子... ????????????? 是我的錯嗎 影片連結：https://youtu.be/eW8vKnWEKns,332,305,25,,2,,,2,/story.php?story_fbid=999405470267605&id=381591828715642&refid=17&_ft_=mf_story_key.999405470267605%3Atop_level_post_id.999405470267605%3Atl_objid.999405470267605%3Acontent_owner_id_new.381591828715642%3Athrowback_story_fbid.999405470267605%3Apage_id.381591828715642%3Aphoto_id.999405416934277%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22381591828715642%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A381591828715642%2C%22post_context%22%3A%7B%22story_fbid%22%3A999405470267605%2C%22publish_time%22%3A1542362912%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A381591828715642%2C%22actor_id%22%3A381591828715642%2C%22role%22%3A1%2C%22post_id%22%3A999405470267605%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.381591828715642%3A306061129499414%3A2%3A0%3A1543651199%3A8669368738557638104&__tn__=%2AW-R#footer_action_list
我是阿晋不是阿晉,2018-11-18,最近都會開台寶可夢Let’s Go 要密切注意YT跟IG還有FB 開台通知才不會miss喔 對了這是我的勁敵 厲害ㄅ,189,170,18,1,,,,2,/story.php?story_fbid=1000550050153147&id=381591828715642&refid=17&_ft_=mf_story_key.1000550050153147%3Atop_level_post_id.1000550050153147%3Atl_objid.1000550050153147%3Acontent_owner_id_new.381591828715642%3Athrowback_story_fbid.1000550050153147%3Apage_id.381591828715642%3Aphoto_id.1000549976819821%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22381591828715642%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A381591828715642%2C%22post_context%22%3A%7B%22story_fbid%22%3A1000550050153147%2C%22publish_time%22%3A1542516941%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A381591828715642%2C%22actor_id%22%3A381591828715642%2C%22role%22%3A1%2C%22post_id%22%3A1000550050153147%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.381591828715642%3A306061129499414%3A2%3A0%3A1543651199%3A3977141078210504764&__tn__=%2AW-R#footer_action_list
我是阿晋不是阿晉,2018-11-18,十點或十點半開！ 玩到大概十二點半一點～～～～ 進度已經到紫苑鎮拉 連結：https://gaming.youtube.com/channel/UCa7KELKe1u9mQ5jWMdIB-HQ/live,96,96,,,,,,,/story.php?story_fbid=1000771593464326&id=381591828715642&refid=17&_ft_=mf_story_key.1000771593464326%3Atop_level_post_id.1000771593464326%3Atl_objid.1000771593464326%3Acontent_owner_id_new.381591828715642%3Athrowback_story_fbid.1000771593464326%3Apage_id.381591828715642%3Aphoto_id.1000771066797712%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22381591828715642%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A381591828715642%2C%22post_context%22%3A%7B%22story_fbid%22%3A1000771593464326%2C%22publish_time%22%3A1542546211%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A381591828715642%2C%22actor_id%22%3A381591828715642%2C%22role%22%3A1%2C%22post_id%22%3A1000771593464326%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.381591828715642%3A306061129499414%3A2%3A0%3A1543651199%3A612393184718080586&__tn__=%2AW-R#footer_action_list
我是阿晋不是阿晉,2018-11-11,這部影片有抽獎喔！ 下週三會把獎項抽出來 記得去留言內！ #影片在你知道的地方 #抽抽抽抽抽,97,96,,1,,,,2,/story.php?story_fbid=996516823889803&id=381591828715642&refid=17&_ft_=mf_story_key.996516823889803%3Atop_level_post_id.996516823889803%3Atl_objid.996516823889803%3Acontent_owner_id_new.381591828715642%3Athrowback_story_fbid.996516823889803%3Apage_id.381591828715642%3Aphoto_id.996516803889805%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22381591828715642%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A381591828715642%2C%22post_context%22%3A%7B%22story_fbid%22%3A996516823889803%2C%22publish_time%22%3A1541929655%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A381591828715642%2C%22actor_id%22%3A381591828715642%2C%22role%22%3A1%2C%22post_id%22%3A996516823889803%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.381591828715642%3A306061129499414%3A2%3A0%3A1543651199%3A1304643956218606703&__tn__=%2AW-R#footer_action_list
我是阿晋不是阿晉,2018-11-02,本週休一次 大家加油 我也加油,186,182,,1,2,1,,1,/story.php?story_fbid=991251054416380&id=381591828715642&refid=17&_ft_=mf_story_key.991251054416380%3Atop_level_post_id.991251054416380%3Atl_objid.991251054416380%3Acontent_owner_id_new.381591828715642%3Athrowback_story_fbid.991251054416380%3Apage_id.381591828715642%3Astory_location.4%3Apage_insights.%7B%22381591828715642%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A381591828715642%2C%22post_context%22%3A%7B%22story_fbid%22%3A991251054416380%2C%22publish_time%22%3A1541162584%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A381591828715642%2C%22actor_id%22%3A381591828715642%2C%22role%22%3A1%2C%22post_id%22%3A991251054416380%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.381591828715642%3A306061129499414%3A2%3A0%3A1543651199%3A8634711072418660813&__tn__=%2AW-R#footer_action_list
我是阿晋不是阿晉,2018-11-07,炒！ 炒泡麵炒起來～～～ 讓胡子大滿足 https://youtu.be/LXP8WiZVK1A,269,264,5,,,,,1,/story.php?story_fbid=994199290788223&id=381591828715642&refid=17&_ft_=mf_story_key.994199290788223%3Atop_level_post_id.994199290788223%3Atl_objid.994199290788223%3Acontent_owner_id_new.381591828715642%3Athrowback_story_fbid.994199290788223%3Apage_id.381591828715642%3Aphoto_id.994199200788232%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22381591828715642%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A381591828715642%2C%22post_context%22%3A%7B%22story_fbid%22%3A994199290788223%2C%22publish_time%22%3A1541593034%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A381591828715642%2C%22actor_id%22%3A381591828715642%2C%22role%22%3A1%2C%22post_id%22%3A994199290788223%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.381591828715642%3A306061129499414%3A2%3A0%3A1543651199%3A-1699178692038774926&__tn__=%2AW-R#footer_action_list
我是阿晋不是阿晉,2018-11-09,OK! 六點半首播 一起來看新系列 晋來吃吃看！ 影片：https://youtu.be/x6Gov49OyIE,196,196,,,,,,5,/story.php?story_fbid=995367514004734&id=381591828715642&refid=17&_ft_=mf_story_key.995367514004734%3Atop_level_post_id.995367514004734%3Atl_objid.995367514004734%3Acontent_owner_id_new.381591828715642%3Athrowback_story_fbid.995367514004734%3Apage_id.381591828715642%3Aphoto_id.995367140671438%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22381591828715642%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A381591828715642%2C%22post_context%22%3A%7B%22story_fbid%22%3A995367514004734%2C%22publish_time%22%3A1541756536%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A381591828715642%2C%22actor_id%22%3A381591828715642%2C%22role%22%3A1%2C%22post_id%22%3A995367514004734%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.381591828715642%3A306061129499414%3A2%3A0%3A1543651199%3A9039339775655545892&__tn__=%2AW-R#footer_action_list
我是阿晋不是阿晉,2018-11-07,大家晚安 我才不會這麼容易被擊倒。 謝囉,1531,1279,181,68,2,,1,89,/story.php?story_fbid=994365210771631&id=381591828715642&refid=17&_ft_=mf_story_key.994365210771631%3Atop_level_post_id.994365210771631%3Atl_objid.994365210771631%3Acontent_owner_id_new.381591828715642%3Athrowback_story_fbid.994365210771631%3Apage_id.381591828715642%3Aphoto_id.994365084104977%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22381591828715642%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A381591828715642%2C%22post_context%22%3A%7B%22story_fbid%22%3A994365210771631%2C%22publish_time%22%3A1541613936%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A381591828715642%2C%22actor_id%22%3A381591828715642%2C%22role%22%3A1%2C%22post_id%22%3A994365210771631%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.381591828715642%3A306061129499414%3A2%3A0%3A1543651199%3A-7259763693823841639&__tn__=%2AW-R#footer_action_list
我是阿晋不是阿晉,2018-10-27,感謝Crazy Farmer 瘋狂老爹 兄弟去日本送我了一個 爆棚的卡比獸.. 他為什麼會爆棚？,238,225,13,,,,,2,/story.php?story_fbid=987903628084456&id=381591828715642&refid=17&_ft_=mf_story_key.987903628084456%3Atop_level_post_id.987903628084456%3Atl_objid.987903628084456%3Acontent_owner_id_new.381591828715642%3Athrowback_story_fbid.987903628084456%3Apage_id.381591828715642%3Aphoto_id.987903598084459%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22381591828715642%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A381591828715642%2C%22post_context%22%3A%7B%22story_fbid%22%3A987903628084456%2C%22publish_time%22%3A1540641567%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A381591828715642%2C%22actor_id%22%3A381591828715642%2C%22role%22%3A1%2C%22post_id%22%3A987903628084456%2C%22share_id%22%3A0%7D%5D%7D%2C%22139783732841090%22%3A%7B%22page_id%22%3A139783732841090%2C%22role%22%3A16%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%7D%7D%3Athid.381591828715642%3A306061129499414%3A2%3A0%3A1543651199%3A5495542464756183560&__tn__=%2AW-R#footer_action_list
我是阿晋不是阿晉,2018-10-29,六點在YT第一次首播quq 陪我測試一下新功能好嗎 https://www.youtube.com/watch?v=-_X7P2QSanQ,165,164,1,,,,,,/story.php?story_fbid=989002354641250&id=381591828715642&refid=17&_ft_=mf_story_key.989002354641250%3Atop_level_post_id.989002354641250%3Atl_objid.989002354641250%3Acontent_owner_id_new.381591828715642%3Athrowback_story_fbid.989002354641250%3Apage_id.381591828715642%3Aphoto_id.989002287974590%3Astory_location.4%3Astory_attachment_style.photo%3Apage_insights.%7B%22381591828715642%22%3A%7B%22role%22%3A1%2C%22page_id%22%3A381591828715642%2C%22post_context%22%3A%7B%22story_fbid%22%3A989002354641250%2C%22publish_time%22%3A1540806610%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22object_fbtype%22%3A266%7D%2C%22actor_id%22%3A381591828715642%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22sl%22%3A4%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22targets%22%3A%5B%7B%22page_id%22%3A381591828715642%2C%22actor_id%22%3A381591828715642%2C%22role%22%3A1%2C%22post_id%22%3A989002354641250%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.381591828715642%3A306061129499414%3A2%3A0%3A1543651199%3A-6625744900461456444&__tn__=%2AW-R#footer_action_list
