source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Gianni Morandi,2019-01-28,28 gennaio. Solo qualche tempo fa... #tredicipietro,6263,5520,36,687,20,,,587,https://mbasic.facebook.com/giannimorandiofficial
Gianni Morandi,2019-01-26,26 gennaio. Forse questa è una delle mie preferite....  Buon fine settimana! #senonavessipiute,7695,6799,8,851,32,5,,1104,https://mbasic.facebook.com/giannimorandiofficial
Gianni Morandi,2019-01-24,"24 gennaio. Oggi, Giuliano Sangiorgi, leader dei Negramaro, compie 40 anni.  Tanti auguri! Lo ringrazio per la bellissima canzone che ha scritto per me. #chemeravigliasei. Guarda il video su YouTube: https://youtu.be/4ZVrU3ASSeI",3925,3643,1,256,23,,2,447,https://mbasic.facebook.com/giannimorandiofficial
Gianni Morandi,2019-01-22,22 gennaio. Ieri sera ho visto il bellissimo “cartoon” di Celentano. Anch’io ho il mo cartone... di latte! L’autore è #ilveropablo,5999,4628,1119,214,26,7,5,811,https://mbasic.facebook.com/giannimorandiofficial
Gianni Morandi,2019-01-23,23 gennaio. In viaggio. Chissà se c’è qualche notizia per il mio Bologna? Foto di Anna,5617,5226,51,320,18,1,1,660,https://mbasic.facebook.com/giannimorandiofficial
Gianni Morandi,2019-01-18,18 gennaio. Cruciverba...,4009,3640,34,259,75,1,,448,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548168774%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548168774%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-16,"16 gennaio. Dopo teatro, menù vario... Foto di Anna, che non vuole comparire...",4556,4225,19,262,50,,,401,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548168774%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548168774%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-19,19 gennaio. Legna per il camino. Foto di Anna.,8204,7728,25,344,102,2,3,793,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548168774%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548168774%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-17,"17 gennaio.  Milano, eccoci qua!",6270,5857,12,345,55,,1,644,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548168774%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548168774%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-21,21 gennaio. Giornata mondiale degli abbracci. #unsoloabbraccio #ermalmeta #damoredautore,4755,4286,4,445,20,,,658,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548168774%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548168774%3A04611686018427387904%3A09223372036854775803%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-10,10 gennaio. Piazza del Popolo. Ancora Roma... Foto di Anna,6767,6324,5,398,40,,,554,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547675497%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547675497%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-09,"9 gennaio. Roma , Piazza di Spagna. Foto di Anna",7146,6667,9,419,47,2,2,577,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547675497%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547675497%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-13,Buona domenica! #autoscatto,6792,6306,5,454,26,,1,916,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547675497%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547675497%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-11,"11 gennaio. Jacopo, Tommaso, Leonardo, nipoti crescono...",11103,10030,13,948,109,1,2,1180,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547675497%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547675497%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-14,"14 gennaio.  Cambio occhiali, difficile scegliere... Foto di Anna",6532,5907,273,287,61,2,2,937,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547675497%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547675497%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-06,6 gennaio. Era il 6 gennaio 1969...,17635,15930,19,1505,165,8,8,1130,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547044868%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547044868%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-08,"8 gennaio. Pronti a partire, ci vediamo al traguardo...",5563,5188,20,285,70,,,611,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547044868%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547044868%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-06,"6 gennaio. Auguri Adriano, buon compleanno!“Quale miglior sorpresa per il compleanno di uno scherzo e l’augurio di mantenersi sempre così: giovane e allegro! Auguri Adriano da tutti i tuoi più stretti collaboratori di Adrian."" Il video ha come colonna sonora ""In ginocchio da te"" di Gianni Morandi, uno scherzo del team che prende spunto dall’amicizia dei due artisti.  Per farsi “perdonare"", il video chiude con un accenno di ""La tana del re""! Con questi auguri si inaugura il nuovo sito dedicato alla serie in animazione “Adrian"" : www.adrianlaserie.it",3566,3222,42,287,15,,,344,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547044868%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547044868%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-07,7 gennaio. Ricordi del 2018...,33258,31390,16,1652,172,6,22,1409,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547044868%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547044868%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
Gianni Morandi,2019-01-05,5 gennaio. Pizza!!!,8723,8109,26,389,197,2,,699,https://mbasic.facebook.com/giannimorandiofficial?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547044868%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547044868%3A04611686018427387904%3A09223372036854775793%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQDFTPOa_3p4Dc7S&refid=17
