source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Polpo di Stato,,2019-04-30 22:31:09,Fantasmas de mi vidaGhosts of my life,33,23,2,8,,,,1,278572363095899,/story.php?story_fbid=278572363095899&id=237264647226671
Polpo di Stato,,2019-04-29 21:56:31,Letteralmente noiLiterally us,28,19,1,8,,,,6,277976709822131,/story.php?story_fbid=277976709822131&id=237264647226671
Polpo di Stato,,2019-04-29 17:49:19,,17,13,1,3,,,,,277871143166021,/polpodistato/photos/a.265624644390671/277871143166021
Polpo di Stato,,2019-04-29 16:30:09,Il tempo delle meme,59,54,,5,,,,1,277812163171919,/story.php?story_fbid=277812163171919&id=237264647226671
Polpo di Stato,,2019-04-29 14:56:33,,14,10,,4,,,,,277787213174414,/story.php?story_fbid=277787213174414&id=237264647226671
Polpo di Stato,,2019-04-29 12:40:16,ｖｏｊｏ　ｖｅｄｅｒｅ　ｓｅ　ａ　ｃｏｓｏ　ｌａ　ｍａｎｃｉａ　ｎｏｎ　ｇｌｉｅｌａ　ｄａｉ　ｅｈ,58,46,2,10,,,,,277676616518807,/story.php?story_fbid=277676616518807&id=237264647226671
Polpo di Stato,,2019-04-29 11:02:30,E VOI cosa pensate della PIENA AUTOMAZIONE? (i commenti verranno inseriti nel compass),164,120,17,26,1,,,31,277654233187712,/story.php?story_fbid=277654233187712&id=237264647226671
Polpo di Stato,,2019-04-29 08:30:00,,33,32,1,,,,,,277608409858961,/story.php?story_fbid=277608409858961&id=237264647226671
Polpo di Stato,,2019-04-29 06:42:45,fedez gli cadono i pomodori per terra al suo compleanno nel carrefour: TRANQUILLI MIEI FANS LI DO IN BENEFICENZA fedez si riprende 1 euro 75 cent di resto dal rider: AD ESSERE ONESTI BISOGNA AVERE UN CERTO QI PER CAPIRE CHE IL SISTEMA DELLE MANCE è CONTRO LA LOTTA DI CLASSE,110,96,8,5,1,,,3,277602389859563,/story.php?story_fbid=277602389859563&id=237264647226671
"Polpo di Stato,Escape PODstaggio",Escape PODstaggio,2019-04-28 22:03:58,RIZZO PELATO SATELLITE LECCATOmi ricordo quella volta nella tempolinea r02208rUn4 ho deciso di diventare un pianeta e in pratica mi divertivo a solleticare il Rizzo allunato con la lingua ahahahah bei tempi bei #tempi,15,12,2,1,,,,,277418673211268,/story.php?story_fbid=277418673211268&id=237264647226671
